CODIGO ,PRIMER NOMBRE,SEGUNDO NOMBRE,APELLIDO,USUARIO,CONTRASEÑA,SEXO,CARGO,DPTO,CIUDAD,ZONA,FECHA INGRESO
1,M,MARIA,M,usu-,$%Orange87”%,MASCULINO,AUXILIAR,FINANZAS,MADRID,CENTRO,01/01/2000
2,MARIA,BELEN, RICAURTE,bricarte,$Orange72,FEMENINO,ASISTENTE,GENERAL,LUGO,SUR,06/05/1992
3,RENE ,,RIVAS,,,MASCULINO,AUXILIAR,VENTAS,CUENCA,NORTE,17/02/1988
4,RICARDO ,,LEON,,,MASCULINO,ASISTENTE,PRODUCCION,CUENCA,SUR,12/03/2001
5,JUAN ,CARLOS,PEREZ,,,MASCULINO,JEFE,VENTAS,MADRID,COSTA,21/04/1997
6,JUAN ,RAMON,ARBOLEDA,,,MASCULINO,GERENTE,FINANZAS,GUADALAJARA,CENTRO,13/07/1999
7,LUISA ,,HERRERA,,,FEMENINO,AUXILIAR,GENERAL,MADRID,SUR,04/06/2000
8,PATRICIO ,,SOSA,,,MASCULINO,ASISTENTE,VENTAS,LIMA,NORTE,16/09/1993
9,EDUARDO ,,MALO,,,MASCULINO,ASISTENTE,PRODUCCION,SEVILLA,SUR,27/12/2003
10,ROCIO ,,LARREA,,,FEMENINO,ASISTENTE,VENTAS,MALAGA,COSTA,12/02/2004
11,CATALINA ,,GUERRA,,,FEMENINO,ASISTENTE,FINANZAS,GRANADA,CENTRO,25/08/2001
12,FERNANDO ,,ORTIZ,,,MASCULINO,ASISTENTE,GENERAL,MADRID,SUR,16/11/2002
13,MARIO ,,GUERRON,,,MASCULINO,AUXILIAR,VENTAS,MALAGA,NORTE,11/11/1995
14,ANA ,LUISA,LLERENA,,,FEMENINO,JEFE,PRODUCCION,GUADALAJARA,SUR,03/05/1994
15,PABLO ,,PITARQUE,,,MASCULINO,JEFE,VENTAS,LA RIOJA,COSTA,14/01/2003
16,DOLORES ,,RIBADENEIRA,,,FEMENINO,ASISTENTE,FINANZAS,MADRID,CENTRO,07/10/2001
17,PETER ,,VILLEGAS,,,MASCULINO,SUPERVISOR,COMPRAS,LA RIOJA,NORTE,18/10/1997
18,JUAN  ,CARLOS,SALAS,,,MASCULINO,SUPERVISOR,FINANZAS,AVILA,SUR,01/04/2000
19,MARIA  ,SOL,GALARZA,,,FEMENINO,ASISTENTE,FINANZAS,LUGO,SUR,14/12/1998
20,MARISOL ,,RESTREPO,,,FEMENINO,SUPERVISOR,PRODUCCION,MADRID,NORTE,23/09/1998
